customer_id,subscription_plan,age,avg_watch_time,monthly_app_opens,device_type,region,past_complaints,months_subscribed,total_transactions,customer_lifetime_value
C0001,premium,22,44,7,Desktop,,1,23,0,1513014
C0002,basic,36,,38,MOBILE,,5,33,6,596383
C0003,Basic,40,135,114,Mobile,,0,3,4,1605600
C0004,Standard,55,184,9,Desktop,,1,8,4,1890701
C0005,premium,19,169,14,Mobile,,3,16,1,892168
C0006,Premium,27,133,44,Desktop,jakarta,0,26,5,804701
C0007,Basic,50,30,102,MOBILE,,4,34,2,1023689
C0008,Standard,42,25,107,mobile,,5,14,4,76645
C0009,standard,51,87,90,MOBILE,,0,12,1,1211909
C0010,Basic,27,166,7,MOBILE,,3,26,5,1677525
C0011,Premium,46,45,5,MOBILE,,0,13,9,461379
C0012,Basic,22,,76,MOBILE,,0,26,9,1046114
C0013,Basic,53,74,111,MOBILE,,3,6,8,1976532
C0014,standard,33,97,146,mobile,,3,12,8,458989
C0015,Premium,31,89,140,Desktop,,2,12,7,254289
C0016,standard,19,75,15,desktop,,1,25,9,1733486
C0017,Basic,49,144,116,Mobile,,4,25,0,903779
C0018,Basic,26,170,144,mobile,,1,26,0,619758
C0019,basic,18,18,108,mobile,,5,27,6,747784
C0020,Standard,50,153,82,Desktop,,1,4,10,174835
C0021,standard,54,87,95,desktop,,3,32,0,984613
C0022,standard,54,14,98,mobile,,2,32,0,465884
C0023,Basic,29,79,117,desktop,,0,11,4,314336
C0024,standard,18,186,49,desktop,,0,33,11,1547345
C0025,Basic,46,12,74,desktop,,5,22,4,332575
C0026,Premium,50,110,119,MOBILE,,4,30,6,925642
C0027,Premium,57,17,131,desktop,,0,19,6,935639
C0028,basic,59,96,115,desktop,,0,4,10,315752
C0029,basic,59,16,122,desktop,Medan,1,2,7,346625
C0030,Basic,45,105,33,Mobile,,3,16,3,794519
C0031,Standard,25,144,81,mobile,,2,34,2,1286350
C0032,Standard,27,12,108,Desktop,,3,1,6,1726069
C0033,premium,31,54,117,desktop,,1,18,6,773057
C0034,Standard,48,103,1,Mobile,,3,15,5,147781
C0035,basic,43,51,10,Mobile,,1,32,8,164552
C0036,premium,25,53,46,mobile,,0,28,11,704932
C0037,Premium,51,155,114,Mobile,,4,6,8,765893
C0038,Standard,30,191,19,desktop,,3,1,8,1007205
C0039,Basic,21,192,132,MOBILE,,4,32,6,722551
C0040,basic,58,196,37,desktop,,1,4,8,1423523
C0041,Basic,48,92,22,Desktop,,4,7,10,1105651
C0042,standard,36,25,111,MOBILE,,3,20,7,1438371
C0043,standard,52,158,73,Desktop,,5,29,11,803248
C0044,Premium,33,185,70,mobile,,2,34,11,1663858
C0045,standard,25,,17,Mobile,,1,11,0,153667
C0046,basic,48,180,115,desktop,,3,32,7,1422237
C0047,premium,32,187,149,Desktop,,2,23,8,313181
C0048,basic,36,138,104,mobile,,3,32,8,1067317
C0049,Standard,52,168,83,Desktop,,0,22,2,473957
C0050,Basic,36,129,68,Mobile,,1,23,10,1640419
C0051,premium,49,34,96,Mobile,,1,26,2,502081
C0052,basic,29,77,22,mobile,,1,18,3,1389675
C0053,Standard,49,194,126,Desktop,,2,21,8,1590169
C0054,basic,56,94,49,MOBILE,,1,20,11,908629
C0055,Standard,33,186,120,desktop,,0,23,2,1132215
C0056,Standard,19,39,136,MOBILE,,0,24,5,1867782
C0057,premium,46,121,97,MOBILE,,2,20,7,947522
C0058,Premium,26,76,96,desktop,,1,35,3,1173462
C0059,standard,28,136,10,mobile,Bandung,1,2,5,1679003
C0060,premium,42,77,14,desktop,,1,21,8,1519707
C0061,premium,34,72,35,Mobile,,2,22,5,1574192
C0062,Standard,31,136,142,Desktop,,0,21,4,1135325
C0063,premium,37,107,138,MOBILE,,5,27,10,1290432
C0064,Basic,24,70,91,Desktop,,2,11,6,1507670
C0065,premium,37,73,24,mobile,,1,27,6,1504519
C0066,Premium,24,43,104,Mobile,,5,18,11,1492992
C0067,basic,56,68,106,mobile,,0,24,1,943791
C0068,Basic,54,47,112,Mobile,,1,18,11,2122834
C0069,Premium,21,65,103,desktop,,3,14,6,1821369
C0070,Basic,50,35,27,Desktop,Bandung,5,25,3,1704803
C0071,premium,32,61,47,mobile,,5,7,3,1356994
C0072,Standard,19,19,21,Desktop,,3,5,4,527810
C0073,basic,22,160,13,desktop,,1,33,0,1000847
C0074,Premium,33,164,111,Mobile,,5,28,11,342112
C0075,standard,24,43,80,Desktop,,3,23,2,1452427
C0076,Standard,33,96,23,Desktop,,1,9,8,1569844
C0077,premium,47,100,112,Mobile,,1,12,10,1278101
C0078,standard,41,50,26,Desktop,,4,27,1,468309
C0079,Basic,53,82,43,desktop,,0,30,1,1747512
C0080,Premium,34,186,30,Mobile,,0,32,10,1070864
C0081,Basic,46,67,112,Mobile,,1,30,8,851239
C0082,Basic,55,137,92,mobile,,5,6,8,1200384
C0083,premium,51,126,93,MOBILE,,4,24,3,509870
C0084,basic,56,191,77,Desktop,,0,21,9,738123
C0085,Premium,46,47,143,Desktop,,4,27,9,1343972
C0086,Standard,20,156,52,desktop,,0,1,0,1499024
C0087,Premium,44,103,105,desktop,,1,2,9,2071747
C0088,Standard,59,97,11,Desktop,,3,8,5,1038808
C0089,Basic,37,128,110,Mobile,,5,17,1,1096762
C0090,Basic,47,119,99,Desktop,,1,9,6,478634
C0091,standard,43,97,96,mobile,,4,10,3,1964447
C0092,Premium,22,149,147,desktop,,0,26,0,1802726
C0093,basic,46,101,15,Mobile,,4,15,7,1160870
C0094,standard,50,58,17,Mobile,,4,27,3,1458897
C0095,basic,41,79,40,Desktop,,5,16,10,879512
C0096,Standard,47,147,78,desktop,,0,29,0,113262
C0097,basic,57,62,47,MOBILE,,2,8,10,1383933
C0098,basic,47,61,42,MOBILE,Jakarta,2,2,2,594454
C0099,standard,22,23,60,MOBILE,,2,18,9,1734909
C0100,Premium,46,129,76,desktop,,5,15,2,1613671
C0101,Premium,23,,145,Mobile,,3,23,2,1135739
C0102,standard,27,64,141,Desktop,,1,28,4,110327
C0103,standard,24,34,90,Desktop,,4,6,4,1082789
C0104,standard,30,78,60,mobile,Surabaya,4,22,3,1124081
C0105,premium,34,124,136,Mobile,,5,26,6,1802060
C0106,standard,44,178,32,MOBILE,,2,32,6,232131
C0107,Premium,21,60,50,Mobile,,1,21,3,2066377
C0108,premium,35,103,117,desktop,,5,21,11,213633
C0109,premium,23,73,27,Mobile,,4,23,9,1843152
C0110,basic,29,52,44,MOBILE,,4,19,6,1300943
C0111,premium,43,19,7,Desktop,,3,20,11,915748
C0112,Basic,20,168,33,mobile,,5,29,8,495280
C0113,Premium,47,158,78,Desktop,jakarta,4,27,6,510057
C0114,Basic,20,115,1,MOBILE,,5,33,9,942829
C0115,Basic,38,56,110,Desktop,,4,9,8,1409249
C0116,standard,23,105,30,Mobile,,5,11,7,1395862
C0117,basic,24,138,76,MOBILE,,2,19,0,1046708
C0118,Standard,55,,11,mobile,,3,24,0,1397493
C0119,standard,28,21,108,desktop,,0,17,10,2013557
C0120,standard,22,196,12,mobile,,2,19,6,1156144
C0121,Standard,18,94,85,desktop,,4,3,7,1633662
