order_id,customer_tier,payment_method,num_items,order_value,customer_city,device_type,past_returns,account_age_days,shipping_speed,is_fraud
O0001,Gold,cod,1,417821,,Desktop,0,507,express,No
O0002,Platinum,COD,4,481832,,DESKTOP,1,258,regular,Yes
O0003,Gold,cod,3,495209,,DESKTOP,3,639,express,No
O0004,Silver,CoD,2,304920,,mobile,6,398,express,Yes
O0005,gold,COD,3,158201,,mobile,2,485,regular,No
O0006,gold,COD,2,128644,,mobile,0,1277,express,Yes
O0007,Silver,COD,3,132679,,DESKTOP,5,1391,express,No
O0008,silver,cod,4,124128,,Desktop,6,435,express,No
O0009,gold,COD,5,375069,,Mobile,1,1331,regular,No
O0010,gold,COD,3,326471,,mobile,4,213,regular,No
O0011,Gold,CoD,1,115971,,Mobile,3,1022,regular,No
O0012,Silver,CoD,2,68334,,mobile,6,125,express,Yes
O0013,silver,COD,3,326367,,Desktop,4,960,express,No
O0014,Platinum,cod,2,295073,,mobile,3,237,regular,No
O0015,Platinum,CoD,4,356134,,Desktop,6,1147,regular,Yes
O0016,Gold,cod,3,167151,,mobile,3,1477,regular,No
O0017,Gold,COD,4,85475,,Mobile,2,948,regular,No
O0018,Silver,CoD,3,274315,,Desktop,3,940,express,No
O0019,gold,cod,5,483601,,Desktop,3,413,express,No
O0020,silver,COD,5,477656,,DESKTOP,,542,regular,Yes
O0021,silver,cod,2,423465,,DESKTOP,2,279,regular,No
O0022,Platinum,CoD,2,489132,,Desktop,1,701,regular,No
O0023,Gold,cod,1,224460,,DESKTOP,1,1180,express,No
O0024,silver,COD,1,413202,,Mobile,6,71,regular,No
O0025,silver,CoD,5,66482,,DESKTOP,4,537,express,No
O0026,silver,cod,1,423012,,Mobile,1,733,regular,No
O0027,Gold,CoD,5,357014,,mobile,0,1134,express,No
O0028,Silver,CoD,5,384242,,Mobile,3,300,regular,No
O0029,Gold,CoD,4,64126,,Desktop,0,671,regular,No
O0030,Gold,COD,2,209039,,Desktop,6,1330,express,No
O0031,Platinum,COD,2,69870,,Desktop,2,1485,express,No
O0032,Gold,COD,1,205621,,Mobile,,916,regular,No
O0033,Platinum,COD,5,434709,,Mobile,,453,express,No
O0034,Silver,cod,1,169732,,DESKTOP,1,1069,express,No
O0035,silver,CoD,5,169581,,Desktop,2,593,express,No
O0036,Gold,COD,1,71773,,DESKTOP,3,1016,regular,No
O0037,Silver,COD,1,242082,,Desktop,3,297,express,No
O0038,Silver,cod,3,102196,,DESKTOP,1,838,express,No
O0039,gold,cod,4,394061,,DESKTOP,2,801,regular,No
O0040,Silver,CoD,1,230805,,Desktop,6,312,regular,No
O0041,Platinum,COD,5,,,Mobile,2,62,regular,No
O0042,Gold,cod,2,361428,,mobile,2,32,regular,Yes
O0043,gold,COD,2,432744,,Desktop,4,444,regular,No
O0044,Gold,CoD,5,331813,,Desktop,5,164,express,No
O0045,Platinum,COD,4,78301,,DESKTOP,0,997,express,No
O0046,Gold,cod,4,123557,,Desktop,1,441,regular,No
O0047,Platinum,COD,1,464321,,Desktop,4,337,express,No
O0048,Platinum,cod,1,200103,,Desktop,5,1422,regular,No
O0049,Gold,COD,5,456129,,Mobile,2,190,regular,No
O0050,Gold,CoD,5,279720,,Mobile,,688,regular,No
O0051,Gold,cod,4,50753,,DESKTOP,1,817,regular,No
O0052,gold,CoD,1,291273,,mobile,1,908,express,No
O0053,Silver,COD,4,75434,,mobile,1,361,regular,No
O0054,gold,COD,2,213922,,DESKTOP,,63,express,No
O0055,Gold,CoD,1,96238,,Mobile,5,542,regular,No
O0056,Platinum,cod,5,458002,,Mobile,2,793,regular,No
O0057,gold,COD,4,482928,,Desktop,0,474,regular,Yes
O0058,silver,cod,2,478901,,Mobile,1,1077,regular,No
O0059,gold,COD,2,325592,,mobile,4,658,regular,Yes
O0060,silver,CoD,4,486065,,DESKTOP,,445,regular,Yes
O0061,gold,cod,3,414064,,mobile,4,206,regular,No
O0062,silver,cod,4,332702,,Desktop,5,1110,regular,Yes
O0063,silver,cod,5,470542,,Desktop,4,807,regular,No
O0064,Gold,COD,3,368434,,Desktop,2,1492,express,No
O0065,silver,CoD,3,380127,,mobile,6,417,regular,No
O0066,Silver,COD,2,394529,Bandung,DESKTOP,0,764,express,No
O0067,gold,cod,2,439802,,Mobile,1,61,regular,Yes
O0068,silver,CoD,2,373211,,Desktop,4,668,express,No
O0069,Platinum,COD,3,448177,,DESKTOP,3,1154,regular,No
O0070,gold,cod,1,465169,,mobile,2,1381,express,Yes
O0071,Platinum,COD,5,310664,,Desktop,4,307,express,No
O0072,gold,COD,2,102010,,DESKTOP,3,998,regular,Yes
O0073,Platinum,CoD,5,104509,,mobile,0,501,regular,No
O0074,Gold,CoD,4,479714,Medan,DESKTOP,3,173,express,No
O0075,Gold,cod,3,59930,,DESKTOP,3,1009,express,No
