Usia,Pendapatan_Bulanan,Lama_Bekerja_Tahun,Jumlah_Tanggungan,Skor_Kredit_Internal,Jumlah_Pinjaman_Diminta,Rasio_Utang_Pendapatan,Jml_Keterlambatan_Bayar_12bln,Durasi_Pinjaman_Bulan,Tujuan_Pinjaman,Status_Kepemilikan_Rumah,Jenis_Pekerjaan,Pendidikan_Terakhir,Status_Pernikahan,Status_Pinjaman
28,6700000,0,2,833,3500000,29,5,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Lancar
39,9200000,4,0,850,2000000,50,7,6,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Macet
23,7200000,1,2,536,4000000,50,2,6,Konsumtif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
27,5500000,2,1,762,2000000,50,0,12,Konsumtif,Sewa,Wiraswasta,S2/S3,Bercerai,Lancar
25,6200000,1,2,423,5000000,25,1,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Macet
50,6200000,0,1,712,4000000,14,0,6,Produktif,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
31,11200000,7,1,464,1500000,50,7,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Menikah,Lancar
34,10700000,1,2,763,2500000,50,6,6,Produktif,Sewa,Swasta,Diploma/S1,Menikah,Macet
37,5700000,0,1,565,3000000,50,3,6,Produktif,Sewa,Pemerintahan,S2/S3,Belum Menikah,Macet
29,5800000,1,1,484,3000000,29,2,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Menikah,Lancar
18,7500000,3,2,735,6500000,50,4,12,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Macet
42,5700000,1,3,440,4000000,41,0,6,Konsumtif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Macet
44,7400000,0,2,556,4000000,5,2,6,Konsumtif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Lancar
28,9300000,1,2,550,3000000,50,5,6,Produktif,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Lancar
