Usia,Pendapatan_Bulanan,Lama_Bekerja_Tahun,Jumlah_Tanggungan,Skor_Kredit_Internal,Jumlah_Pinjaman_Diminta,Rasio_Utang_Pendapatan,Jml_Keterlambatan_Bayar_12bln,Durasi_Pinjaman_Bulan,Tujuan_Pinjaman,Status_Kepemilikan_Rumah,Jenis_Pekerjaan,Pendidikan_Terakhir,Status_Pernikahan,Prediksi_Status_Pinjaman
26,11200000,7,4,736,3000000,50,6,6,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
37,6500000,1,2,300,2500000,50,2,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Belum Menikah,Macet
37,6400000,0,2,604,4000000,50,3,12,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
30,9500000,1,1,811,4500000,50,5,12,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Menikah,Macet
43,2100000,11,5,850,4000000,13,2,6,Pendidikan,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
29,7800000,7,2,812,4500000,45,1,12,Produktif,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Macet
44,10000000,2,3,407,4000000,8,2,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Macet
43,6700000,1,1,542,4000000,50,0,6,Konsumtif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Macet
41,7600000,5,1,725,4000000,50,1,6,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
47,10600000,0,1,343,3000000,15,0,12,Pendidikan,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
37,5200000,0,0,474,7000000,50,1,6,Konsumtif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Macet
43,6000000,5,2,794,4000000,50,3,6,Pendidikan,Sewa,Pemerintahan,S2/S3,Menikah,Lancar
36,4200000,9,3,812,3500000,50,5,6,Pendidikan,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Lancar
44,6700000,0,2,500,3500000,17,1,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Lancar
36,8500000,7,3,798,2500000,34,0,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Menikah,Macet
39,7900000,12,5,850,4000000,5,0,6,Pendidikan,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
48,9700000,5,2,804,4000000,27,0,6,Pendidikan,Sewa,Swasta,S2/S3,Menikah,Lancar
40,5100000,0,1,300,1500000,50,2,6,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
20,8700000,1,2,646,4000000,50,1,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Menikah,Macet
18,6900000,2,4,374,2500000,49,0,6,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
38,8000000,2,1,590,4000000,37,8,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
40,8000000,4,3,772,5000000,50,1,12,Pendidikan,Sewa,Swasta,SMA/Sederajat,Menikah,Lancar
30,7800000,4,1,670,4000000,27,1,6,Konsumtif,Sewa,Swasta,S2/S3,Menikah,Lancar
37,7100000,4,2,543,5000000,26,0,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Macet
39,7100000,4,2,676,2000000,50,4,12,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
44,5000000,2,0,569,2500000,50,3,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
40,9400000,1,1,668,2500000,50,4,24,Produktif,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
31,3700000,0,2,467,2500000,50,1,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
25,7500000,0,2,581,3500000,50,3,6,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Macet
22,5900000,0,3,580,5500000,50,4,6,Produktif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
47,3200000,5,1,802,2500000,29,0,6,Produktif,Sewa,Swasta,SMA/Sederajat,Menikah,Lancar
42,6400000,2,2,701,500000,50,3,12,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
